,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
22,336,2018-12-02,3:30p,Phoenix Suns,96,Los Angeles Lakers,120,Box Score,,18997,,18997,1.0
23,363,2018-12-05,10:30p,San Antonio Spurs,113,Los Angeles Lakers,121,Box Score,,18997,,18997,1.0
24,374,2018-12-07,8:30p,Los Angeles Lakers,120,San Antonio Spurs,133,Box Score,,18354,,18418,0.9965251384515148
25,383,2018-12-08,8:00p,Los Angeles Lakers,111,Memphis Grizzlies,88,Box Score,,17794,,17794,1.0
26,400,2018-12-10,10:30p,Miami Heat,105,Los Angeles Lakers,108,Box Score,,18997,,18997,1.0
27,415,2018-12-13,8:00p,Los Angeles Lakers,111,Houston Rockets,126,Box Score,,18055,,18055,1.0
28,429,2018-12-15,7:00p,Los Angeles Lakers,128,Charlotte Hornets,100,Box Score,,19641,,19077,1.0
29,438,2018-12-16,6:00p,Los Angeles Lakers,110,Washington Wizards,128,Box Score,,20409,,20356,1.0
30,452,2018-12-18,7:30p,Los Angeles Lakers,110,Brooklyn Nets,115,Box Score,,17732,,17732,1.0
31,477,2018-12-21,10:30p,New Orleans Pelicans,104,Los Angeles Lakers,112,Box Score,,18997,,18997,1.0
32,495,2018-12-23,9:30p,Memphis Grizzlies,107,Los Angeles Lakers,99,Box Score,,18997,,18997,1.0
33,499,2018-12-25,8:00p,Los Angeles Lakers,127,Golden State Warriors,101,Box Score,,19596,,18064,1.0
34,513,2018-12-27,10:00p,Los Angeles Lakers,116,Sacramento Kings,117,Box Score,,17583,,17583,1.0
35,525,2018-12-28,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0
36,540,2018-12-30,9:30p,Sacramento Kings,114,Los Angeles Lakers,121,Box Score,,18997,,18997,1.0
37,561,2019-01-02,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,100,Box Score,,18997,,18997,1.0
38,573,2019-01-04,10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,18997,,18997,1.0
39,585,2019-01-06,3:30p,Los Angeles Lakers,86,Minnesota Timberwolves,108,Box Score,,18978,,18978,1.0
40,595,2019-01-07,8:30p,Los Angeles Lakers,107,Dallas Mavericks,97,Box Score,,20354,,19200,1.0
41,615,2019-01-09,10:30p,Detroit Pistons,100,Los Angeles Lakers,113,Box Score,,18997,,18997,1.0
42,627,2019-01-11,10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,18306,,18306,1.0
43,643,2019-01-13,9:30p,Cleveland Cavaliers,101,Los Angeles Lakers,95,Box Score,,18997,,18997,1.0
44,655,2019-01-15,10:30p,Chicago Bulls,100,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0
45,669,2019-01-17,9:30p,Los Angeles Lakers,138,Oklahoma City Thunder,128,Box Score,OT,18203,,18203,1.0
46,685,2019-01-19,8:30p,Los Angeles Lakers,134,Houston Rockets,138,Box Score,OT,18055,,18055,1.0
47,700,2019-01-21,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0
48,718,2019-01-24,10:30p,Minnesota Timberwolves,120,Los Angeles Lakers,105,Box Score,,18997,,18997,1.0
49,742,2019-01-27,9:30p,Phoenix Suns,102,Los Angeles Lakers,116,Box Score,,18997,,18997,1.0
50,754,2019-01-29,10:30p,Philadelphia 76ers,121,Los Angeles Lakers,105,Box Score,,18997,,18997,1.0
51,768,2019-01-31,10:30p,Los Angeles Lakers,123,Los Angeles Clippers,120,Box Score,OT,19068,,19068,1.0
52,780,2019-02-02,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,19596,,18064,1.0
53,797,2019-02-05,7:00p,Los Angeles Lakers,94,Indiana Pacers,136,Box Score,,17265,,17923,0.963287396083245
54,813,2019-02-07,8:00p,Los Angeles Lakers,129,Boston Celtics,128,Box Score,,18624,,18624,1.0
55,834,2019-02-10,3:30p,Los Angeles Lakers,120,Philadelphia 76ers,143,Box Score,,20683,,20478,1.0
56,847,2019-02-12,7:30p,Los Angeles Lakers,113,Atlanta Hawks,117,Box Score,,16824,,18118,0.9285793133899989
57,871,2019-02-21,10:30p,Houston Rockets,106,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0
58,885,2019-02-23,7:00p,Los Angeles Lakers,115,New Orleans Pelicans,128,Box Score,,18626,,16867,1.0
59,903,2019-02-25,8:00p,Los Angeles Lakers,105,Memphis Grizzlies,110,Box Score,,17794,,17794,1.0
60,920,2019-02-27,10:30p,New Orleans Pelicans,119,Los Angeles Lakers,125,Box Score,,18997,,18997,1.0
61,933,2019-03-01,10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,18997,,18997,1.0
