,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
18,263,2018-11-21,10:30p,Oklahoma City Thunder,123,Golden State Warriors,95,Box Score,,19596,,18064,1.0
19,276,2018-11-23,10:30p,Portland Trail Blazers,97,Golden State Warriors,125,Box Score,,19596,,18064,1.0
20,283,2018-11-24,8:30p,Sacramento Kings,116,Golden State Warriors,117,Box Score,,19596,,18064,1.0
21,299,2018-11-26,10:30p,Orlando Magic,110,Golden State Warriors,116,Box Score,,19596,,18064,1.0
22,315,2018-11-29,8:00p,Golden State Warriors,128,Toronto Raptors,131,Box Score,OT,20073,,19800,1.0
23,330,2018-12-01,7:00p,Golden State Warriors,102,Detroit Pistons,111,Box Score,,20332,,20332,1.0
24,343,2018-12-03,7:30p,Golden State Warriors,128,Atlanta Hawks,111,Box Score,,16631,,18118,0.9179269235014902
25,354,2018-12-05,7:00p,Golden State Warriors,129,Cleveland Cavaliers,105,Box Score,,19432,,19432,1.0
26,376,2018-12-07,9:30p,Golden State Warriors,105,Milwaukee Bucks,95,Box Score,,17852,,17500,1.0
27,399,2018-12-10,10:30p,Minnesota Timberwolves,108,Golden State Warriors,116,Box Score,,19596,,18064,1.0
28,414,2018-12-12,10:30p,Toronto Raptors,113,Golden State Warriors,93,Box Score,,19596,,18064,1.0
29,427,2018-12-14,10:00p,Golden State Warriors,130,Sacramento Kings,125,Box Score,,17583,,17583,1.0
30,448,2018-12-17,10:30p,Memphis Grizzlies,93,Golden State Warriors,110,Box Score,,19596,,18064,1.0
31,463,2018-12-19,9:00p,Golden State Warriors,103,Utah Jazz,108,Box Score,,18306,,18306,1.0
32,483,2018-12-22,8:30p,Dallas Mavericks,116,Golden State Warriors,120,Box Score,,19596,,18064,1.0
33,493,2018-12-23,8:30p,Los Angeles Clippers,127,Golden State Warriors,129,Box Score,,19596,,18064,1.0
34,499,2018-12-25,8:00p,Los Angeles Lakers,127,Golden State Warriors,101,Box Score,,19596,,18064,1.0
35,514,2018-12-27,10:30p,Portland Trail Blazers,110,Golden State Warriors,109,Box Score,OT,19596,,18064,1.0
36,533,2018-12-29,10:00p,Golden State Warriors,115,Portland Trail Blazers,105,Box Score,,19797,,19441,1.0
37,547,2018-12-31,9:00p,Golden State Warriors,132,Phoenix Suns,109,Box Score,,16906,,18055,0.9363611188036555
38,564,2019-01-03,10:30p,Houston Rockets,135,Golden State Warriors,134,Box Score,OT,19596,,18064,1.0
39,582,2019-01-05,10:00p,Golden State Warriors,127,Sacramento Kings,123,Box Score,,17583,,17583,1.0
40,604,2019-01-08,10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,19596,,18064,1.0
41,628,2019-01-11,10:30p,Chicago Bulls,109,Golden State Warriors,146,Box Score,,19596,,18064,1.0
42,641,2019-01-13,7:00p,Golden State Warriors,119,Dallas Mavericks,114,Box Score,,20340,,19200,1.0
43,654,2019-01-15,9:00p,Golden State Warriors,142,Denver Nuggets,111,Box Score,,19896,,19520,1.0
44,662,2019-01-16,10:30p,New Orleans Pelicans,140,Golden State Warriors,147,Box Score,,19596,,18064,1.0
45,675,2019-01-18,10:30p,Golden State Warriors,112,Los Angeles Clippers,94,Box Score,,19068,,19068,1.0
46,700,2019-01-21,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0
