,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
52,765,2019-01-31,8:00p,Milwaukee Bucks,105,Toronto Raptors,92,Box Score,,19800,,19800,1.0
53,788,2019-02-03,3:00p,Los Angeles Clippers,103,Toronto Raptors,121,Box Score,,19800,,19800,1.0
54,801,2019-02-05,8:00p,Toronto Raptors,119,Philadelphia 76ers,107,Box Score,,20472,,20478,0.9997070026369763
55,812,2019-02-07,7:30p,Toronto Raptors,119,Atlanta Hawks,101,Box Score,,16036,,18118,0.8850866541560879
56,827,2019-02-09,7:30p,Toronto Raptors,104,New York Knicks,99,Box Score,,18886,,19812,0.9532606501110438
57,841,2019-02-11,7:30p,Brooklyn Nets,125,Toronto Raptors,127,Box Score,,19800,,19800,1.0
58,856,2019-02-13,7:30p,Washington Wizards,120,Toronto Raptors,129,Box Score,,19800,,19800,1.0
59,875,2019-02-22,7:00p,San Antonio Spurs,117,Toronto Raptors,120,Box Score,,20058,,19800,1.0
60,893,2019-02-24,3:30p,Orlando Magic,113,Toronto Raptors,98,Box Score,,19800,,19800,1.0
61,908,2019-02-26,8:00p,Boston Celtics,95,Toronto Raptors,118,Box Score,,19800,,19800,1.0
62,930,2019-03-01,8:00p,Portland Trail Blazers,117,Toronto Raptors,119,Box Score,,19800,,19800,1.0
63,948,2019-03-03,6:00p,Toronto Raptors,107,Detroit Pistons,112,Box Score,OT,19161,,20332,0.942406059413732
64,962,2019-03-05,8:00p,Houston Rockets,107,Toronto Raptors,95,Box Score,,19800,,19800,1.0
65,982,2019-03-08,8:00p,Toronto Raptors,127,New Orleans Pelicans,104,Box Score,,17325,,16867,1.0
66,992,2019-03-10,3:30p,Toronto Raptors,125,Miami Heat,104,Box Score,,19600,,19600,1.0
67,1000,2019-03-11,7:00p,Toronto Raptors,101,Cleveland Cavaliers,126,Box Score,,19432,,19432,1.0
68,1022,2019-03-14,8:00p,Los Angeles Lakers,98,Toronto Raptors,111,Box Score,,19962,,19800,1.0
69,1044,2019-03-17,4:00p,Toronto Raptors,107,Detroit Pistons,110,Box Score,,19277,,20332,0.948111351564037
70,1052,2019-03-18,7:30p,New York Knicks,92,Toronto Raptors,128,Box Score,,19800,,19800,1.0
71,1071,2019-03-20,9:30p,Toronto Raptors,123,Oklahoma City Thunder,114,Box Score,OT,18203,,18203,1.0
72,1082,2019-03-22,7:30p,Oklahoma City Thunder,116,Toronto Raptors,109,Box Score,,20014,,19800,1.0
73,1097,2019-03-24,6:00p,Charlotte Hornets,115,Toronto Raptors,114,Box Score,,19800,,19800,1.0
74,1109,2019-03-26,7:30p,Chicago Bulls,103,Toronto Raptors,112,Box Score,,19800,,19800,1.0
75,1124,2019-03-28,7:30p,Toronto Raptors,117,New York Knicks,92,Box Score,,19812,,19812,1.0
76,1141,2019-03-30,8:00p,Toronto Raptors,124,Chicago Bulls,101,Box Score,,21238,,20917,1.0
77,1155,2019-04-01,7:30p,Orlando Magic,109,Toronto Raptors,121,Box Score,,19800,,19800,1.0
78,1168,2019-04-03,7:30p,Toronto Raptors,115,Brooklyn Nets,105,Box Score,,17732,,17732,1.0
79,1179,2019-04-05,7:00p,Toronto Raptors,111,Charlotte Hornets,113,Box Score,,18684,,19077,0.97939927661582
80,1194,2019-04-07,12:00p,Miami Heat,109,Toronto Raptors,117,Box Score,OT,19800,,19800,1.0
81,1213,2019-04-09,8:00p,Toronto Raptors,120,Minnesota Timberwolves,100,Box Score,,16119,,18978,0.8493518811255137
