,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
48,743,2019-01-28 19:00:00+00:00,7:00p,New York Knicks,92,Charlotte Hornets,101,Box Score,,13963,,19077,0.7319285002883053,0.3333333333333333,0.13333333333333333,0.2,Away
49,757,2019-01-30 19:30:00+00:00,7:30p,Dallas Mavericks,114,New York Knicks,90,Box Score,,18842,,19812,0.9510397738744196,0.47619047619047616,0.0,0.47619047619047616,Home
50,770,2019-02-01 19:30:00+00:00,7:30p,Boston Celtics,113,New York Knicks,99,Box Score,,18343,,19812,0.9258530183727034,0.603448275862069,0.06896551724137931,0.5344827586206896,Home
51,786,2019-02-03 13:00:00+00:00,1:00p,Memphis Grizzlies,96,New York Knicks,84,Box Score,,17025,,19812,0.8593276801938219,0.45,0.25,0.2,Home
52,798,2019-02-05 19:30:00+00:00,7:30p,Detroit Pistons,105,New York Knicks,92,Box Score,,17853,,19812,0.9011205330102968,0.3448275862068966,0.10344827586206896,0.2413793103448276,Home
53,816,2019-02-08 19:00:00+00:00,7:00p,New York Knicks,103,Detroit Pistons,120,Box Score,,14430,,20332,0.7097186700767263,0.34782608695652173,0.043478260869565216,0.30434782608695654,Away
54,827,2019-02-09 19:30:00+00:00,7:30p,Toronto Raptors,104,New York Knicks,99,Box Score,,18886,,19812,0.9532606501110438,0.38461538461538464,0.23076923076923078,0.15384615384615385,Home
55,838,2019-02-11 19:00:00+00:00,7:00p,New York Knicks,104,Cleveland Cavaliers,107,Box Score,,19432,,19432,1.0,0.2777777777777778,0.0,0.2777777777777778,Away
56,855,2019-02-13 19:30:00+00:00,7:30p,Philadelphia 76ers,126,New York Knicks,111,Box Score,,18983,,19812,0.9581566727236018,0.6842105263157895,0.21052631578947367,0.47368421052631576,Home
57,864,2019-02-14 19:30:00+00:00,7:30p,New York Knicks,106,Atlanta Hawks,91,Box Score,,14179,,18118,0.7825918975604371,0.6363636363636364,0.0,0.6363636363636364,Away
58,877,2019-02-22 19:30:00+00:00,7:30p,Minnesota Timberwolves,115,New York Knicks,104,Box Score,,19096,,19812,0.9638602866949324,0.5319148936170213,0.2127659574468085,0.3191489361702128,Home
59,895,2019-02-24 19:30:00+00:00,7:30p,San Antonio Spurs,118,New York Knicks,130,Box Score,,18019,,19812,0.9094992933575612,0.4,0.2,0.2,Home
60,907,2019-02-26 19:30:00+00:00,7:30p,Orlando Magic,103,New York Knicks,108,Box Score,,17833,,19812,0.9001110438118313,0.5769230769230769,0.2692307692307692,0.3076923076923077,Home
61,923,2019-02-28 19:30:00+00:00,7:30p,Cleveland Cavaliers,125,New York Knicks,118,Box Score,,17573,,19812,0.8869876842317788,0.6363636363636364,0.22727272727272727,0.4090909090909091,Home
62,946,2019-03-03 15:30:00+00:00,3:30p,New York Knicks,107,Los Angeles Clippers,128,Box Score,,19068,,19068,1.0,0.5625,0.125,0.4375,Away
63,956,2019-03-04 22:00:00+00:00,10:00p,New York Knicks,108,Sacramento Kings,115,Box Score,,17034,,17583,0.9687766592731616,0.55,0.05,0.5,Away
64,971,2019-03-06 21:00:00+00:00,9:00p,New York Knicks,96,Phoenix Suns,107,Box Score,,14427,,18055,0.7990584325671559,0.6,0.2,0.4,Away
65,985,2019-03-09 12:00:00+00:00,12:00p,Sacramento Kings,102,New York Knicks,94,Box Score,,19812,,19812,1.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,Home
66,997,2019-03-10 20:00:00+00:00,8:00p,New York Knicks,92,Minnesota Timberwolves,103,Box Score,,13806,,18978,0.7274739171672463,0.6282051282051282,0.05128205128205128,0.5769230769230769,Away
67,1006,2019-03-12 19:00:00+00:00,7:00p,New York Knicks,98,Indiana Pacers,103,Box Score,,16679,,17923,0.9305919767896,0.7333333333333333,0.13333333333333333,0.6,Away
68,1031,2019-03-15 20:30:00+00:00,8:30p,New York Knicks,83,San Antonio Spurs,109,Box Score,,18354,,18418,0.9965251384515148,0.7142857142857143,0.0625,0.6517857142857143,Away
69,1041,2019-03-17 12:00:00+00:00,12:00p,Los Angeles Lakers,123,New York Knicks,124,Box Score,,19812,,19812,1.0,0.6702127659574468,0.1702127659574468,0.5,Home
70,1052,2019-03-18 19:30:00+00:00,7:30p,New York Knicks,92,Toronto Raptors,128,Box Score,,19800,,19800,1.0,0.7366071428571429,0.11607142857142858,0.6205357142857143,Away
71,1067,2019-03-20 19:30:00+00:00,7:30p,Utah Jazz,137,New York Knicks,116,Box Score,,18530,,19812,0.9352917423783564,0.5961538461538461,0.10576923076923077,0.49038461538461536,Home
72,1081,2019-03-22 19:30:00+00:00,7:30p,Denver Nuggets,111,New York Knicks,93,Box Score,,19290,,19812,0.9736523319200484,0.5882352941176471,0.10695187165775401,0.48128342245989303,Home
73,1094,2019-03-24 12:00:00+00:00,12:00p,Los Angeles Clippers,124,New York Knicks,113,Box Score,,18263,,19812,0.9218150615788412,0.6057692307692307,0.19230769230769232,0.41346153846153844,Home
74,1124,2019-03-28 19:30:00+00:00,7:30p,Toronto Raptors,117,New York Knicks,92,Box Score,,19812,,19812,1.0,0.6926229508196722,0.14344262295081966,0.5491803278688525,Home
75,1140,2019-03-30 19:30:00+00:00,7:30p,Miami Heat,100,New York Knicks,92,Box Score,,19812,,19812,1.0,0.6418918918918919,0.11486486486486487,0.527027027027027,Home
76,1154,2019-04-01 19:30:00+00:00,7:30p,Chicago Bulls,105,New York Knicks,113,Box Score,,18874,,19812,0.9526549565919644,0.6363636363636364,0.13131313131313133,0.5050505050505051,Home
77,1165,2019-04-03 19:00:00+00:00,7:00p,New York Knicks,100,Orlando Magic,114,Box Score,,18846,,18846,1.0,0.6232876712328768,0.1506849315068493,0.4726027397260274,Away
78,1182,2019-04-05 20:00:00+00:00,8:00p,New York Knicks,96,Houston Rockets,120,Box Score,,18055,,18055,1.0,0.5808823529411765,0.10294117647058823,0.47794117647058826,Away
79,1203,2019-04-07 19:30:00+00:00,7:30p,Washington Wizards,110,New York Knicks,113,Box Score,,19812,,19812,1.0,0.6214285714285714,0.11428571428571428,0.5071428571428571,Home
80,1212,2019-04-09 20:00:00+00:00,8:00p,New York Knicks,96,Chicago Bulls,86,Box Score,,21350,,20917,1.0,0.6625,0.11875,0.54375,Away
81,1224,2019-04-10 20:00:00+00:00,8:00p,Detroit Pistons,115,New York Knicks,89,Box Score,,19812,,19812,1.0,0.6666666666666666,0.20754716981132076,0.4591194968553459,Home
