Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sun, Feb 22, 2015",1:00p,Cleveland Cavaliers,101,New York Knicks,83,Box Score,,19812,
"Sun, Feb 22, 2015",3:30p,Washington Wizards,89,Detroit Pistons,106,Box Score,,18371,
"Sun, Feb 22, 2015",3:30p,Atlanta Hawks,97,Milwaukee Bucks,86,Box Score,,14787,
"Sun, Feb 22, 2015",6:00p,Golden State Warriors,98,Indiana Pacers,104,Box Score,,17789,
"Sun, Feb 22, 2015",6:00p,Philadelphia 76ers,98,Orlando Magic,103,Box Score,,16108,
"Sun, Feb 22, 2015",7:00p,Denver Nuggets,94,Oklahoma City Thunder,119,Box Score,,18203,
"Sun, Feb 22, 2015",7:30p,Charlotte Hornets,81,Dallas Mavericks,92,Box Score,,20347,
"Sun, Feb 22, 2015",9:00p,Memphis Grizzlies,98,Portland Trail Blazers,92,Box Score,,19782,
"Sun, Feb 22, 2015",9:30p,Boston Celtics,111,Los Angeles Lakers,118,Box Score,OT,18997,
"Mon, Feb 23, 2015",7:30p,Philadelphia 76ers,108,Miami Heat,119,Box Score,,19802,
"Mon, Feb 23, 2015",8:00p,Milwaukee Bucks,71,Chicago Bulls,87,Box Score,,21434,
"Mon, Feb 23, 2015",8:00p,Minnesota Timberwolves,102,Houston Rockets,113,Box Score,,18240,
"Mon, Feb 23, 2015",8:00p,Toronto Raptors,97,New Orleans Pelicans,100,Box Score,,16514,
"Mon, Feb 23, 2015",9:00p,Brooklyn Nets,110,Denver Nuggets,82,Box Score,,13127,
"Mon, Feb 23, 2015",9:00p,Boston Celtics,115,Phoenix Suns,110,Box Score,,17076,
"Mon, Feb 23, 2015",9:00p,San Antonio Spurs,81,Utah Jazz,90,Box Score,,18782,
"Mon, Feb 23, 2015",10:30p,Memphis Grizzlies,90,Los Angeles Clippers,87,Box Score,,19161,
"Tue, Feb 24, 2015",7:00p,Golden State Warriors,114,Washington Wizards,107,Box Score,,20356,
"Tue, Feb 24, 2015",7:30p,Cleveland Cavaliers,102,Detroit Pistons,93,Box Score,,19087,
"Tue, Feb 24, 2015",8:00p,Indiana Pacers,92,Oklahoma City Thunder,105,Box Score,,18203,
"Tue, Feb 24, 2015",8:30p,Toronto Raptors,92,Dallas Mavericks,99,Box Score,,20151,
"Wed, Feb 25, 2015",7:00p,Miami Heat,93,Orlando Magic,90,Box Score,OT,18309,
"Wed, Feb 25, 2015",7:30p,Dallas Mavericks,87,Atlanta Hawks,104,Box Score,,16126,
"Wed, Feb 25, 2015",7:30p,New York Knicks,94,Boston Celtics,115,Box Score,,16899,
"Wed, Feb 25, 2015",8:00p,Charlotte Hornets,98,Chicago Bulls,86,Box Score,,21509,
"Wed, Feb 25, 2015",8:00p,Los Angeles Clippers,105,Houston Rockets,110,Box Score,,18154,
"Wed, Feb 25, 2015",8:00p,Philadelphia 76ers,88,Milwaukee Bucks,104,Box Score,,12763,
"Wed, Feb 25, 2015",8:00p,Washington Wizards,77,Minnesota Timberwolves,97,Box Score,,19856,
"Wed, Feb 25, 2015",8:00p,Brooklyn Nets,96,New Orleans Pelicans,102,Box Score,,16097,
"Wed, Feb 25, 2015",9:00p,Phoenix Suns,110,Denver Nuggets,96,Box Score,,12813,
"Wed, Feb 25, 2015",9:00p,Los Angeles Lakers,100,Utah Jazz,97,Box Score,,19911,
"Wed, Feb 25, 2015",10:00p,Memphis Grizzlies,90,Sacramento Kings,102,Box Score,,16794,
"Wed, Feb 25, 2015",10:30p,San Antonio Spurs,95,Portland Trail Blazers,111,Box Score,,19650,
"Thu, Feb 26, 2015",8:00p,Golden State Warriors,99,Cleveland Cavaliers,110,Box Score,,20562,
"Thu, Feb 26, 2015",10:30p,Oklahoma City Thunder,113,Phoenix Suns,117,Box Score,OT,17514,
"Fri, Feb 27, 2015",7:00p,Cleveland Cavaliers,86,Indiana Pacers,93,Box Score,,18165,
