Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Mar 27, 2015",7:30p,Cleveland Cavaliers,98,Brooklyn Nets,106,Box Score,,17732,
"Fri, Mar 27, 2015",7:30p,Boston Celtics,96,New York Knicks,92,Box Score,,19812,
"Fri, Mar 27, 2015",7:30p,Los Angeles Lakers,83,Toronto Raptors,94,Box Score,,19800,
"Fri, Mar 27, 2015",8:00p,Minnesota Timberwolves,110,Houston Rockets,120,Box Score,,18322,
"Fri, Mar 27, 2015",8:00p,Golden State Warriors,107,Memphis Grizzlies,84,Box Score,,18119,
"Fri, Mar 27, 2015",8:00p,Sacramento Kings,88,New Orleans Pelicans,102,Box Score,,17669,
"Fri, Mar 27, 2015",8:30p,Dallas Mavericks,76,San Antonio Spurs,94,Box Score,,18581,
"Fri, Mar 27, 2015",9:00p,Utah Jazz,91,Denver Nuggets,107,Box Score,,15312,
"Fri, Mar 27, 2015",10:00p,Portland Trail Blazers,87,Phoenix Suns,81,Box Score,,17219,
"Sat, Mar 28, 2015",7:00p,Atlanta Hawks,100,Charlotte Hornets,115,Box Score,,19122,
"Sat, Mar 28, 2015",8:00p,New York Knicks,80,Chicago Bulls,111,Box Score,,22152,
"Sat, Mar 28, 2015",8:30p,Golden State Warriors,108,Milwaukee Bucks,95,Box Score,,18717,
"Sat, Mar 28, 2015",9:00p,Oklahoma City Thunder,89,Utah Jazz,94,Box Score,,19911,
"Sat, Mar 28, 2015",10:00p,Denver Nuggets,114,Portland Trail Blazers,120,Box Score,,19769,
"Sun, Mar 29, 2015",12:30p,Houston Rockets,99,Washington Wizards,91,Box Score,,20356,
"Sun, Mar 29, 2015",3:30p,Los Angeles Lakers,99,Brooklyn Nets,107,Box Score,,17732,
"Sun, Mar 29, 2015",4:00p,Minnesota Timberwolves,88,New Orleans Pelicans,110,Box Score,,17576,
"Sun, Mar 29, 2015",4:30p,Philadelphia 76ers,86,Cleveland Cavaliers,87,Box Score,,20562,
"Sun, Mar 29, 2015",6:00p,Los Angeles Clippers,119,Boston Celtics,106,Box Score,,18624,
"Sun, Mar 29, 2015",6:00p,Detroit Pistons,102,Miami Heat,109,Box Score,,19685,
"Sun, Mar 29, 2015",7:00p,Dallas Mavericks,99,Indiana Pacers,104,Box Score,,17358,
"Sun, Mar 29, 2015",7:00p,Memphis Grizzlies,89,San Antonio Spurs,103,Box Score,,18581,
"Sun, Mar 29, 2015",9:00p,Oklahoma City Thunder,109,Phoenix Suns,97,Box Score,,17538,
"Mon, Mar 30, 2015",7:00p,Boston Celtics,116,Charlotte Hornets,104,Box Score,,15140,
"Mon, Mar 30, 2015",7:00p,Los Angeles Lakers,113,Philadelphia 76ers,111,Box Score,OT,13501,
"Mon, Mar 30, 2015",7:30p,Milwaukee Bucks,88,Atlanta Hawks,101,Box Score,,18453,
"Mon, Mar 30, 2015",7:30p,Houston Rockets,96,Toronto Raptors,99,Box Score,,19800,
"Mon, Mar 30, 2015",8:00p,Sacramento Kings,83,Memphis Grizzlies,97,Box Score,,17218,
"Mon, Mar 30, 2015",8:00p,Utah Jazz,104,Minnesota Timberwolves,84,Box Score,,12229,
"Mon, Mar 30, 2015",10:00p,Phoenix Suns,86,Portland Trail Blazers,109,Box Score,,19441,
"Tue, Mar 31, 2015",7:30p,Indiana Pacers,106,Brooklyn Nets,111,Box Score,,16756,
"Tue, Mar 31, 2015",7:30p,Atlanta Hawks,95,Detroit Pistons,105,Box Score,,14242,
"Tue, Mar 31, 2015",8:00p,San Antonio Spurs,95,Miami Heat,81,Box Score,,20047,
"Tue, Mar 31, 2015",10:30p,Golden State Warriors,110,Los Angeles Clippers,106,Box Score,,19601,
